,objid,ra,dec,g-i,u-g,u-z,g-z,g-r,concentration_index,photo_z,frac_dev,host_galaxy,distance,axis_ratio,category,radius,magnitude,u_mag,g_mag,i_mag,r_mag,z_mag,link
98,588298662502662374,193.90876047,46.55636752,1.3613219999999995,1.929950999999999,3.6437459999999984,1.7137949999999993,0.898101999999998,0.3859060238427971,0.067359,0.850444,NGC4799,41.0,0.932889,New Contaminant,405.8655446298295,-16.959122283598678,18.93285,17.002899,15.641577,16.104797,15.289104,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588298662502662374
99,587742014361305240,193.99198961,22.55437053,1.1289479999999976,1.8713870000000021,3.3143710000000013,1.4429839999999992,0.7647709999999996,0.3219636844828653,0.047121,1.0,NGC4814,39.8,0.742302,New Contaminant,608.9161630876525,-16.14848836036844,19.487085,17.615698,16.48675,16.850927,16.172714,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587742014361305240
100,587738952028979343,198.60583407,36.74597521,1.1797530000000016,1.8360149999999997,3.3006850000000014,1.4646700000000017,0.780934000000002,0.3439730271614598,0.042283,1.0,NGC5016,39.9,0.866783,New Contaminant,435.3072520400653,-15.674584478433747,19.947229,18.111214,16.931461,17.33028,16.646544,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587738952028979343
101,588017722260324515,199.53377018,42.49635801,1.2767539999999986,1.9871750000000006,3.6082479999999997,1.621072999999999,0.8661839999999987,0.4200852581665268,0.063828,1.0,NGC5033,17.6,0.875463,New Contaminant,495.29321195790845,-15.372603339070748,18.708319,16.721144,15.44439,15.85496,15.100071,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017722260324515
102,587729158434848919,206.78268761,4.13219567,1.1810149999999986,1.8278199999999991,3.2837180000000004,1.4558980000000012,0.7972140000000003,0.3950989026198983,0.045304,0.737243,NGC5297,38.1,0.920211,New Contaminant,239.24275664950125,-15.594426878378094,19.935232,18.107412,16.926397,17.310198,16.651514,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587729158434848919
103,588010878234067081,207.11593944,3.80375231,1.1378660000000025,1.6307219999999987,3.0792900000000003,1.4485680000000016,0.774987000000003,0.416632321717039,0.055381,0.882696,NGC5297,38.1,0.918432,New Contaminant,602.8209205090642,-16.630754878378095,18.679579,17.048857,15.910991,16.27387,15.600289,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588010878234067081
104,587739607562977391,209.39710911,29.01772131,1.2129939999999984,1.9066329999999994,3.4269089999999984,1.520275999999999,0.8156590000000001,0.3869427832944128,0.045025,0.876528,NGC5372,29.2,0.765334,New Contaminant,231.9830529362349,-16.084826257242096,18.96438,17.057747,15.844753,16.242088,15.537471,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587739607562977391
105,587735665304994000,208.88862008,54.65958328,1.272139000000001,1.9433289999999985,3.5213079999999994,1.577979000000001,0.868469000000001,0.3243305873220017,0.063927,0.859903,NGC5448,34.8,0.88089,New Contaminant,562.4973188102257,-17.5526932197329,17.967001,16.023672,14.751533,15.155203,14.445693,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587735665304994000
106,587735695913058351,209.8859664,54.63606712,1.1047740000000008,1.7735839999999996,3.1739890000000006,1.400405000000001,0.7621260000000003,0.3205825124138192,0.050241,1.0,NGC5448,34.8,0.779165,New Contaminant,275.8813441582987,-16.9129162197329,18.33069,16.557106,15.452332,15.79498,15.156701,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587735695913058351
107,587733412592287899,210.30764952,53.45050641,1.1106510000000007,1.6447260000000021,3.0067130000000013,1.3619869999999992,0.7632139999999978,0.3672872853215267,0.054732,1.0,NGC5448,34.8,0.928168,New Contaminant,345.3786620033385,-16.1990922197329,18.916744,17.272018,16.161367,16.508804,15.910031,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587733412592287899
