,name,ra,dec,velocity,redshift,flag
27925,SDSS J084350.51+295303.3,130.96047,29.88426,--,--,
27926,SDSS J084356.63+301603.4,130.98598,30.26764,--,--,
27927,WISEA J084356.83+301607.1,130.98682,30.26864,--,--,
27928,2MASS J08435687+3016077,130.98699,30.26883,--,--,
27929,SDSS J084339.56+301146.6,130.91484,30.19628,--,--,
27930,WISEA J084339.79+301146.3,130.916,30.19612,--,--,
27931,WISEA J084508.40+300318.2,131.28505,30.05509,31155.0,0.103921,SPEC
27932,WISEA J084444.91+301818.1,131.18671,30.30514,--,--,
27933,WISEA J084439.32+302127.2,131.16371,30.35756,--,--,
27934,WISEA J085010.23+350351.9,132.54274,35.06468,--,--,
27935,WISEA J084918.98+350044.6,132.32913,35.01247,35093.0,0.117057,SPEC
27936,SDSS J085108.00+350809.1,132.78337,35.13587,--,--,
27937,WISEA J085108.08+350810.9,132.78369,35.13637,--,--,
27938,2MASS J08510811+3508120,132.7839,35.13673,--,--,
27939,WISEA J085037.73+351559.5,132.65719,35.26616,--,--,
27940,WISEA J085102.86+345905.8,132.76178,34.9852,--,--,
27941,SDSS J085103.13+345901.1,132.76306,34.98365,--,--,
27942,WISEA J084937.84+345739.1,132.40769,34.96088,--,--,
27943,SDSS J084938.25+345736.9,132.4094,34.96026,--,--,
27944,SDSS J084945.38+345648.0,132.43909,34.94668,--,--,
27945,WISEA J084945.68+345644.9,132.44034,34.94574,--,--,
27946,WISEA J084927.62+350307.0,132.36514,35.05214,--,--,
27947,WISEA J084930.39+350000.1,132.37671,35.00024,--,--,
27948,WISEA J084947.93+345625.4,132.44981,34.9406,--,--,
27949,WISEA J085005.25+350120.7,132.52166,35.02219,--,--,
27950,WISEA J085042.55+351120.8,132.67726,35.18929,--,--,
27951,WISEA J084947.27+351130.2,132.44698,35.19175,--,--,
27952,WISEA J084947.85+351134.8,132.4494,35.19293,--,--,
27953,WISEA J085005.84+345831.3,132.52433,34.9754,19601.0,0.065383,SPEC
27954,SDSS J085009.10+345818.7,132.53795,34.97187,--,--,
27955,WISEA J085009.45+345825.9,132.53944,34.97394,32561.0,0.108613,SPEC
27956,SDSS J084951.44+350715.0,132.46436,35.12084,--,--,
27957,WISEA J084951.61+350707.0,132.46507,35.11863,--,--,
27958,2MASS J08495175+3507061,132.46563,35.1185,--,--,
27959,SDSS J085033.98+350655.9,132.64161,35.11554,--,--,
27960,WISEA J085026.34+345800.0,132.60977,34.96668,--,--,
27961,SDSS J085025.47+345706.9,132.60616,34.95192,--,--,
27962,WISEA J085025.54+345710.8,132.60656,34.95322,--,--,
27963,WISEA J085040.34+345723.1,132.66811,34.95643,--,--,
27964,SDSS J085041.04+345734.4,132.67103,34.95956,--,--,
27965,WISEA J085051.04+345937.5,132.71269,34.99375,--,--,
27966,SDSS J085051.49+345942.4,132.71457,34.99513,--,--,
27967,SDSS J084944.22+351127.6,132.43426,35.19101,--,--,
27968,WISEA J084948.30+351150.7,132.45129,35.1975,36882.0,0.123024,SPEC
27969,SDSS J084948.63+351144.3,132.45264,35.19564,--,--,
27970,SDSS J084949.23+351148.7,132.45514,35.19689,--,--,
27971,WISEA J084948.04+351245.0,132.45027,35.21249,--,--,
27972,WISEA J084920.70+345549.0,132.33626,34.93032,16108.0,0.053731,SPEC
27973,WISEA J091011.30+511210.3,137.54712,51.20267,--,--,
27974,SDSS J091012.29+511207.9,137.55122,51.20219,--,--,
27975,WISEA J091205.67+511120.3,138.02363,51.18885,--,--,
27976,SDSS J091012.74+511030.2,137.5531,51.17507,--,--,
27977,WISEA J091013.01+511021.3,137.55427,51.17259,--,--,
27978,SDSS J091013.31+511029.7,137.55547,51.17492,--,--,
27979,WISEA J091007.25+511447.1,137.53021,51.24643,--,--,
27980,2MASS J09100735+5114483,137.53064,51.24669,--,--,
27981,SDSS J091007.57+511454.6,137.53157,51.24851,--,--,
27982,WISEA J091013.45+511009.0,137.55597,51.16915,--,--,
27983,WISEA J091115.95+511025.8,137.8165,51.17379,29974.0,0.099982,SPEC
27984,2MASS J09111646+5110345,137.81854,51.1762,--,--,
27985,WISEA J091133.87+512227.2,137.89113,51.37426,--,--,
27986,WISEA J091142.55+512137.5,137.9277,51.36026,--,--,
27987,WISEA J091143.49+512132.2,137.93123,51.35896,--,--,
27988,WISEA J091142.70+512225.2,137.92793,51.37368,30329.0,0.101165,SPEC
27989,WISEA J091137.69+512118.5,137.90689,51.35511,--,--,
27990,WISEA J091122.78+510403.3,137.84492,51.0676,--,--,
27991,WISEA J091122.79+510356.9,137.845,51.06581,24845.0,0.082873,SPEC
27992,WISEA J091238.48+511508.2,138.16065,51.25226,--,--,
27993,WISEA J091250.77+511717.8,138.21238,51.28836,--,--,
27994,SDSS J091225.21+510855.3,138.10508,51.14871,--,--,
27995,WISEA J091225.37+510857.1,138.10572,51.1492,--,--,
27996,SDSS J091225.56+510859.3,138.1065,51.14982,--,--,
27997,WISEA J091035.71+510835.3,137.64925,51.14288,--,--,
27998,SDSS J091016.56+511237.6,137.56902,51.21045,--,--,
27999,WISEA J091017.45+511234.8,137.57275,51.20964,--,--,
28000,WISEA J091113.74+512610.9,137.80728,51.43636,30239.0,0.100867,SPEC
28001,WISEA J091139.14+512531.3,137.9131,51.42536,--,--,
28002,WISEA J091140.19+512515.9,137.91769,51.42092,--,--,
28003,WISEA J091215.57+512211.1,138.06494,51.36967,--,--,
28004,WISEA J091201.66+512558.0,138.0068,51.43276,--,--,
