objid,ra,dec,g-i,u-g,u-z,g-z,g-r,concentration_index,photo_z,frac_dev,host_galaxy,distance,axis_ratio,category,radius,magnitude,u_mag,g_mag,i_mag,r_mag,z_mag,link
587732770515452287,175.09000603,9.10315898,1.1470219999999998,1.8664300000000011,3.357534000000001,1.491104,0.7703629999999997,0.4674751045959064,0.046642,0.848748,IC0719,29.4,0.421103,Possible compact galaxies,54.510956398586686,-12.00198265206079,22.976547,21.110117,19.963095,20.339754,19.619013,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587732770515452287
587732770515386579,175.02085978,9.12620536,1.1282819999999987,2.0203210000000027,3.453165000000002,1.4328439999999993,0.7099659999999979,0.4253443093274464,0.076857,0.776342,IC0719,29.4,0.838168,Possible compact galaxies,124.93341192099928,-12.825098652060788,22.246925,20.226604,19.098322,19.516638,18.79376,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587732770515386579
587734891677155352,174.86426814,8.94337284,1.4075279999999992,2.1346169999999987,3.9592349999999996,1.824618000000001,0.9463499999999989,0.3645138819783063,0.078678,1.0,IC0719,29.4,0.960457,Possible compact galaxies,159.13316380632952,-12.834709652060788,22.587994,20.453377,19.045849,19.507027,18.628759,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587734891677155352
587732770515518015,175.27796519,9.18719097,0.9898620000000022,1.3468969999999985,2.5524249999999995,1.205528000000001,0.5628680000000017,0.4798686859955899,0.077666,1.0,IC0719,29.4,0.960162,Possible compact galaxies,28.99921857165685,-12.002123652060789,22.249378,20.902481,19.912619,20.339613,19.696953,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587732770515518015
587734891677155552,174.82689771,8.8609105,1.2339950000000002,1.7854259999999975,3.1821009999999994,1.3966750000000019,0.8436810000000001,0.5343103310849183,0.084363,0.926359,IC0719,29.4,0.998875,Possible compact galaxies,34.711908877189714,-12.309210652060788,22.661633,20.876207,19.642212,20.032526,19.479532,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587734891677155552
587742955739546037,185.24123112,5.68865744,1.11599,2.3253319999999995,3.7209699999999977,1.3956379999999982,0.6745079999999994,0.4561139418560707,0.074972,0.610715,IC0782,36.3,0.77625,Possible compact galaxies,150.8423384534946,-12.36994712518056,23.429426,21.104094,19.988104,20.429586,19.708456,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587742955739546037
587750953245605996,42.4516982,-1.66817148,1.3792799999999978,2.250032000000001,3.919909999999998,1.669877999999997,0.917427,0.4642587264494019,0.087041,0.961062,NGC1121,35.3,0.621255,Possible compact galaxies,76.17506313331522,-13.72696552693911,22.179367,19.929335,18.550055,19.011908,18.259457,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587750953245605996
758887368099496633,72.18510136,-5.30108001,0.861343999999999,1.4092040000000026,2.5324000000000026,1.123196,0.5112779999999972,0.4494568690629296,0.059371,1.0,NGC1665,37.5,0.976572,Possible compact galaxies,82.98240650659207,-13.000128338638593,21.79051,20.381306,19.519962,19.870028,19.25811,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=758887368099496633
588016879364407629,126.73994072,26.09596844,0.9948179999999986,2.2638370000000023,3.6547870000000025,1.3909500000000001,0.7160589999999978,0.4206740054861859,0.057919,0.971355,NGC2594,35.1,0.374355,Possible compact galaxies,161.69883497786,-12.06863558232912,23.637796,21.373959,20.379141,20.6579,19.983009,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588016879364407629
587737825144996513,137.62180915,60.3152296,0.9126449999999977,1.9285910000000008,3.0238699999999987,1.095278999999998,0.5753459999999997,0.4914688475920719,0.055834,0.659018,NGC2768,21.8,0.681976,Possible compact galaxies,154.10825171675685,-12.139571468023023,22.056648,20.128057,19.215412,19.552711,19.032778,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587737825144996513
587725552813801684,138.28759649,60.06983006,1.172072,2.033487000000001,3.5630650000000017,1.5295780000000008,0.838042999999999,0.4743609535396385,0.075693,0.908758,NGC2768,21.8,0.740753,Possible compact galaxies,52.86765910668733,-12.333864468023023,22.229948,20.196461,19.024389,19.358418,18.666883,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587725552813801684
587739407301673512,139.56243059,26.36748272,1.3092600000000019,1.977722,3.711863000000001,1.734141000000001,0.8854870000000012,0.4729262596847555,0.070791,0.774234,NGC2824,40.7,0.578362,Possible compact galaxies,100.61958076230646,-12.723452046126106,23.187729,21.210007,19.900747,20.32452,19.475866,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587739407301673512
587732152567136520,140.63478384,40.08337963,1.2736529999999995,1.7969760000000008,3.3324469999999984,1.5354709999999976,0.7587319999999984,0.4234968368783834,0.089803,0.9806,NGC2852,28.5,0.712413,Possible compact galaxies,87.94903291872349,-12.350133300042549,22.479799,20.682823,19.40917,19.924091,19.147352,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587732152567136520
587726033847320712,152.86744816,3.16004489,1.0130169999999978,1.751145000000001,2.9862600000000015,1.2351150000000004,0.6822540000000004,0.4536131599210176,0.06025,1.0,NGC3156,21.8,0.955004,Possible compact galaxies,33.20210812791728,-13.318693468023024,20.806988,19.055843,18.042826,18.373589,17.820728,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587726033847320712
588009366404006431,155.06366133,58.32898968,1.0756930000000011,1.585915,3.149692999999999,1.5637779999999992,0.7308269999999979,0.4034894177002277,0.074584,0.883606,NGC3182,34.0,0.999971,Possible compact galaxies,53.75435193273589,-12.003427585211275,22.970709,21.384794,20.309101,20.653967,19.821016,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588009366404006431
587741816247484594,154.596526,21.65908938,0.818874000000001,1.0912949999999988,2.261413000000001,1.1701180000000022,0.35489700000000113,0.3123765477028357,0.069718,1.0,NGC3193,33.1,0.863807,Possible compact galaxies,81.73307801139889,-12.240310968878596,21.805021,20.713726,19.894852,20.358829,19.543608,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=587741816247484594
