,name,ra,dec,velocity,redshift,flag
146,WISEA J123007.88+030934.2,187.53282,3.15955,24165.0,0.080605,SPEC
147,WISEA J123053.79+033654.7,187.7242,3.6152,29505.0,0.098418,SPEC
148,MSPM 05252,187.7242,3.6152,29410.0,0.0981,
149,WISEA J123316.57+020855.9,188.31909,2.14884,24163.0,0.080599,SPEC
150,VCC 1423,188.06636,2.99959,13237.0,0.044153,SPEC
151,WISEA J124005.13+120901.0,190.02132,12.15037,22539.0,0.075183,PHOT
152,2MASX J12394422+1201597,189.93429,12.03331,25672.0,0.085634,SPEC
153,WISEA J124101.77+122028.4,190.25739,12.34123,22179.0,0.073981,SPEC
154,WISEA J124247.97+125924.1,190.69994,12.99003,23261.0,0.077592,SPEC
155,WISEA J124522.08+132809.9,191.34199,13.46937,26134.0,0.087173,SPEC
156,WISEA J125513.27+044255.3,193.80531,4.71537,41066.0,0.136983,SPEC
157,WISEA J125147.29+214014.1,192.94704,21.67058,23041.0,0.076857,SPEC
158,WISEA J125322.04+215825.1,193.34158,21.97368,25907.0,0.086415,SPEC
159,WISEA J125336.61+220750.6,193.40254,22.13078,21594.0,0.072029,SPEC
160,2MASX J12554548+2153222,193.93955,21.88973,28809.0,0.096098,SPEC
161,2MASS J12524013+2125003,193.16729,21.41673,23094.0,0.077032,SPEC
162,WISEA J130043.38+220251.8,195.18077,22.0477,26426.0,0.088147,SPEC
163,WISEA J125246.48+210521.7,193.19368,21.08935,23374.0,0.077966,SPEC
164,WISEA J130032.55+215519.9,195.13565,21.92223,26336.0,0.087847,SPEC
165,WISEA J125926.48+205030.9,194.86035,20.84192,22683.0,0.075663,SPEC
166,WISEA J125931.97+205504.3,194.88321,20.91788,40341.0,0.134564,SPEC
167,WISEA J130115.55+120416.6,195.31481,12.07127,23516.0,0.07844,SPEC
168,WISEA J131139.91+363738.9,197.91633,36.6275,31161.0,0.103941,SPEC
169,,,,,,
170,WISEA J131124.03+355835.1,197.85014,35.97644,30601.0,0.102075,SPEC
171,WISEA J132614.62+471801.0,201.56098,47.30031,27052.0,0.090237,SPEC
