,objid,ra,dec,g-i,u-g,u-z,g-z,g-r,concentration_index,photo_z,frac_dev,host_galaxy,distance,axis_ratio,category,radius,magnitude,u_mag,g_mag,i_mag,r_mag,z_mag,link
100,588017726549131454,187.6162653,8.4375154,1.329285,1.731228,3.345459,1.614231,0.923182,0.3991706064,0.109884,0.893914,NGC4472,17.14,0.670664,Contaminant,220.9355436,-14.12762909,19.696835,17.965607,16.636322,17.042425,16.351376,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017726549131454
101,588017730300215394,187.7904669,8.32330301,1.119522,1.668351,3.06005,1.391699,0.74612,0.3826432137,0.044611,0.635269,NGC4472,17.14,0.526109,Contaminant,405.1112158,-14.65339709,18.931128,17.262777,16.143255,16.516657,15.871078,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017730300215394
102,588017726012129425,187.3044745,7.98678091,1.301378,1.343033,2.92691,1.583877,0.827667,0.4255172218,0.142488,0.70327,NGC4472,17.14,0.557118,Contaminant,194.8021683,-13.75853409,19.58222,18.239187,16.937809,17.41152,16.65531,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017726012129425
103,588017726012260573,187.7092635,8.03510681,1.399323,1.876163,3.574214,1.698051,0.952835,0.3133393764,0.105554,1.0,NGC4472,17.14,0.736872,Contaminant,246.2516704,-14.68595909,19.313093,17.43693,16.037607,16.484095,15.738879,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017726012260573
104,588017726549066001,187.5812807,8.34010223,1.310111,1.970022,3.547566,1.577544,0.902388,0.4045445934,0.082353,0.952571,NGC4472,17.14,0.654755,Contaminant,411.1807304,-14.78942409,19.25304,17.283018,15.972907,16.38063,15.705474,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017726549066001
105,588017729763016896,187.0889081,7.8568712,1.43987,2.220925,3.996955,1.77603,0.998237,0.3118261866,0.112357,1.0,NGC4472,17.14,0.855066,Contaminant,436.8763374,-15.80214909,18.587067,16.366142,14.926272,15.367905,14.590112,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017729763016896
106,588017729763082360,187.1367738,7.86898646,1.290981,1.81307,3.418821,1.605751,0.884727,0.3681838814,0.077329,0.946221,NGC4472,17.14,0.811039,Contaminant,177.2087712,-13.99541309,19.872438,18.059368,16.768387,17.174641,16.453617,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017729763082360
107,588017730299887634,187.0272391,8.2354983,1.268493,1.916065,3.515876,1.599811,0.860116,0.3033694092,0.053595,1.0,NGC4472,17.14,0.728954,Contaminant,293.6238945,-16.06768909,17.878546,15.962481,14.693988,15.102365,14.36267,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017730299887634
108,588017730299887647,187.0307089,8.18258906,1.11224,1.414868,2.799378,1.38451,0.714872,0.3491640634,0.085619,0.71878,NGC4472,17.14,0.721597,Contaminant,366.584273,-14.34163909,18.958155,17.543287,16.431047,16.828415,16.158777,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017730299887647
109,588017730299887741,187.0035171,8.18559111,1.267263,1.834426,3.414692,1.580266,0.85308,0.3523951458,0.062864,1.0,NGC4472,17.14,0.513509,Contaminant,491.6895712,-16.20065609,17.656904,15.822478,14.555215,14.969398,14.242212,http://cas.sdss.org/dr7/en/tools/explore/obj.asp?id=588017730299887741
