,objid,ra,dec,g-i,u-g,u-z,g-z,g-r,z-w1,z-w2,z-w3,z-w4,concentration_index,photo_z,frac_dev,host_galaxy,distance,axis_ratio,category,radius,magnitude,u_mag,g_mag,i_mag,r_mag,z_mag,w1,w2,w3,w4,link,spec_z
10,1237661972260257949,187.196789051698,7.92875348111519,1.4957999999999991,2.0147699999999986,3.876059999999999,1.8612900000000003,1.0678699999999992,2.321999999999999,2.5939999999999994,4.179,7.539999999999999,0.29984431813836876,0.130027,1.0,NGC4472,17.14,0.7544068,Possible contaminants,159.0114688819422,-14.045634087935898,20.20706,18.19229,16.69649,17.12442,16.331,14.009,13.737,12.152,8.791,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661972260257949,0.1363667
11,1237661972260258009,187.285085676444,7.91341784213197,1.4817900000000002,1.9654300000000013,3.8046200000000034,1.839190000000002,1.0886600000000008,2.2160699999999984,2.409069999999998,3.6600699999999975,6.920069999999999,0.32156873629662736,0.137002,1.0,NGC4472,17.14,0.8794677,Possible contaminants,186.4172132881311,-14.3314540879359,19.89269,17.92726,16.44547,16.8386,16.08807,13.872,13.679,12.428,9.168,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661972260258009,0.1270195
12,1237661976011407478,187.452791232533,7.79548951299337,1.4052100000000003,1.64696,3.36364,1.7166800000000002,0.962419999999998,1.8776599999999988,2.120659999999999,5.053659999999999,7.64766,0.40132726178855627,0.14341,0.4576048,NGC4472,17.14,0.6242446,Possible contaminants,361.6055791662751,-14.337134087935897,19.4423,17.79534,16.39013,16.83292,16.07866,14.201,13.958,11.025,8.431,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976011407478,0.1390766
13,1237654786779840587,187.404393236648,7.932750335286,1.163829999999999,1.72504,3.113769999999999,1.388729999999999,0.78993,1.69116,1.6181600000000014,2.64316,6.18116,0.4272762015496488,0.046929,0.2339173,NGC4472,17.14,0.97409,Possible contaminants,438.18500848796924,-15.8270940879359,17.85793,16.13289,14.96906,15.34296,14.74416,13.053,13.126,12.101,8.563,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237654786779840587,0.002911063
14,1237661976011342150,187.359036846899,7.87405699024027,1.3760699999999986,1.6893899999999995,3.3475899999999967,1.6581999999999972,0.9036200000000001,2.2737700000000007,2.5547700000000013,5.138770000000001,8.374770000000002,0.46799014981432446,0.126527,0.04333929,NGC4472,17.14,0.5375777,Possible contaminants,294.83786577937906,-13.6367040879359,20.12636,18.43697,17.0609,17.53335,16.77877,14.505,14.224,11.64,8.404,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976011342150,0.1386988
15,1237654786779840680,187.413368487481,8.041403200866,1.578479999999999,1.3464799999999997,3.221429999999998,1.8749499999999983,1.1258899999999983,2.3811300000000006,2.5941300000000016,5.161130000000002,7.6601300000000005,0.45939486359870674,0.209003,0.7170414,NGC4472,17.14,0.5753962,Possible contaminants,343.84720402278066,-13.953864087935898,19.68856,18.34208,16.7636,17.21619,16.46713,14.086,13.873,11.306,8.807,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237654786779840680,0.1452682
16,1237654786779840740,187.310214675817,7.93040444373631,1.2059800000000003,1.260430000000003,2.678880000000003,1.41845,0.8202699999999972,2.431619999999999,2.7016199999999984,5.843619999999998,8.306619999999999,0.491632423377915,0.167361,0.02927627,NGC4472,17.14,0.7950657,Possible contaminants,174.40056272278227,-13.425254087935897,19.8255,18.56507,17.35909,17.7448,17.14662,14.715,14.445,11.303,8.84,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237654786779840740,0.1268309
17,1237661976011538592,187.775369345222,7.76115765602829,1.2807499999999994,1.7238700000000016,3.2960100000000008,1.5721399999999992,0.8726499999999984,1.7825799999999994,1.8285800000000005,3.9615799999999997,6.70058,0.428035914612888,0.081211,0.6253297,NGC4472,17.14,0.7081943,Possible contaminants,438.3866356821089,-15.191984087935898,18.57459,16.85072,15.56997,15.97807,15.27858,13.496,13.45,11.317,8.578,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976011538592,0.08402587
18,1237661972260454588,187.70925215598,8.03510715598814,1.4016400000000004,1.8715200000000003,3.5808800000000005,1.7093600000000002,0.9554100000000005,2.0351899999999983,2.14119,3.883189999999999,6.6451899999999995,0.3103972905341993,0.093492,1.0,NGC4472,17.14,0.7355506,Possible contaminants,246.68535396700173,-14.6869140879359,19.31007,17.43855,16.03691,16.48314,15.72919,13.694,13.588,11.846,9.084,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661972260454588,0.08858379
19,1237661972260454574,187.704537357298,8.03917638209106,1.4081299999999999,1.93431,3.6674299999999995,1.7331199999999995,0.9788099999999993,2.10454,2.2865400000000005,3.7835400000000003,6.785540000000001,0.31675324954998435,0.10106,0.9586726,NGC4472,17.14,0.5271353,Possible contaminants,278.3001102370445,-14.517204087935898,19.56597,17.63166,16.22353,16.65285,15.89854,13.794,13.612,12.115,9.113,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661972260454574,0.08947397
