,objid,ra,dec,g-i,u-g,u-z,g-z,g-r,z-w1,z-w2,z-w3,z-w4,concentration_index,photo_z,frac_dev,host_galaxy,distance,axis_ratio,category,radius,magnitude,u_mag,g_mag,i_mag,r_mag,z_mag,w1,w2,w3,w4,link
0,1237661976011538737,187.84180628333,7.70845080673563,1.2928700000000006,1.8142099999999992,3.485900000000001,1.6716900000000017,0.8925200000000011,2.1514499999999988,2.3294499999999996,5.568449999999999,8.53445,0.45595182292737435,0.107095,0.1353573,NGC4472,17.14,0.5170662,Possible contaminants,213.34008424728782,-13.1244340879359,20.75235,18.93814,17.64527,18.04562,17.26645,15.115,14.937,11.698,8.732,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976011538737
1,1237661971723583604,187.596363199666,7.54305951505265,1.226390000000002,1.79467,3.303840000000001,1.509170000000001,0.8302400000000016,1.8035300000000003,1.82953,2.94153,6.94553,0.30365693925411597,0.053218,1.0,NGC4472,17.14,0.5548661,Possible contaminants,248.7903688161169,-15.6745940879359,18.12037,16.3257,15.09931,15.49546,14.81653,13.013,12.987,11.875,7.871,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661971723583604
2,1237661971723518157,187.550881151663,7.69647657047258,0.9632599999999982,1.330919999999999,2.5489099999999993,1.2179900000000004,0.5979899999999994,2.12294,2.306939999999999,6.075939999999999,8.26194,0.4398897534000854,0.077159,0.00817857,NGC4472,17.14,0.5724411,Possible contaminants,254.37880920057623,-13.881114087935899,19.21785,17.88693,16.92367,17.28894,16.66894,14.546,14.362,10.593,8.407,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661971723518157
3,1237661971723583996,187.614805623494,7.55712684373998,1.1502400000000002,1.2437600000000018,2.6808000000000014,1.4370399999999997,0.7630100000000013,1.9589499999999997,2.4719499999999996,5.23695,8.90295,0.5056941096768152,0.151421,0.06698,NGC4472,17.14,0.6315804,Possible contaminants,317.09653165937675,-12.9190740879359,20.25775,19.01399,17.86375,18.25098,17.57695,15.618,15.105,12.34,8.674,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661971723583996
4,1237661971723583595,187.593363774619,7.65786196520973,1.257670000000001,1.572499999999998,3.069559999999999,1.4970600000000012,0.8316000000000017,1.9624300000000012,2.2234300000000005,5.15343,8.68743,0.36131130344859147,0.140519,0.5682973,NGC4472,17.14,0.4399527,Possible contaminants,188.59407024104217,-13.124164087935899,20.44999,18.87749,17.61982,18.04589,17.38043,15.418,15.157,12.227,8.693,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661971723583595
5,1237661971723518618,187.506973120602,7.61808975256641,1.10745,0.9807699999999997,2.416689999999999,1.4359199999999994,0.7525800000000018,2.0270100000000006,2.828010000000001,5.746010000000002,9.118010000000002,0.47544483750555444,0.228481,0.08959494,NGC4472,17.14,0.4407144,Possible contaminants,228.39846800132344,-12.1977040879359,20.7057,19.72493,18.61748,18.97235,18.28901,16.262,15.461,12.543,9.171,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661971723518618
6,1237661971723387129,187.233566975887,7.69229283836923,1.5770000000000017,1.7559799999999974,3.6403299999999987,1.8843500000000013,1.1399400000000028,2.2833699999999997,2.6893700000000003,4.67137,8.09937,0.3477703151477047,0.188213,1.0,NGC4472,17.14,0.5565448,Possible contaminants,179.0925394017382,-13.1752740879359,20.8907,19.13472,17.55772,17.99478,17.25037,14.967,14.561,12.579,9.151,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661971723387129
7,1237661971723452622,187.402957258256,7.67583871697486,1.5060700000000011,1.5551500000000011,3.398199999999999,1.843049999999998,1.0552899999999994,2.4837000000000007,2.8267000000000007,5.559700000000001,8.9357,0.3892649742823959,0.196213,0.9702309,NGC4472,17.14,0.8720812,Possible contaminants,47.74361555052158,-12.303594087935899,21.4769,19.92175,18.41568,18.86646,18.0787,15.595,15.252,12.519,9.143,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661971723452622
8,1237661971723518385,187.44926944844,7.58431166517807,1.1720599999999983,1.4366200000000013,2.8973900000000015,1.4607700000000001,0.7350299999999983,2.4107999999999983,2.5988000000000007,6.002800000000001,9.4328,0.45271538874968004,0.141001,0.1062676,NGC4472,17.14,0.3275909,Possible contaminants,141.91816521601956,-11.991514087935897,21.35019,19.91357,18.74151,19.17854,18.4528,16.042,15.854,12.45,9.02,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661971723518385
9,1237661971723387058,187.14549687402,7.60346570979195,1.1388800000000003,1.4913600000000002,2.8925100000000015,1.4011500000000012,0.7513700000000014,2.260489999999999,2.61449,6.072489999999998,7.285489999999999,0.36433458794502493,0.096643,0.8782528,NGC4472,17.14,0.7892724,Possible contaminants,149.17440241435085,-13.9907840879359,19.422,17.93064,16.79176,17.17927,16.52949,14.269,13.915,10.457,9.244,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661971723387058
10,1237661976011211035,187.066367291019,7.70961821611299,0.8812200000000026,1.1209099999999985,2.2313100000000006,1.110400000000002,0.6047900000000013,2.0804599999999986,2.243459999999999,5.448459999999999,8.349459999999999,0.4769139527088007,0.108981,0.0,NGC4472,17.14,0.8945199,Possible contaminants,194.16775963235267,-13.1999840879359,19.69577,18.57486,17.69364,17.97007,17.46446,15.384,15.221,12.016,9.115,http://skyserver.sdss.org/dr16/en/tools/explore/Summary.aspx?id=1237661976011211035
